area,PRECTOTCORR_SUM,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,WS2M,canton_id,mes,produccion,fecha
98,288,78.41940654629809,22.792103350671724,18.752566295697857,19.103392249894856,29.520340656325224,16.031402416857173,0.883646741543776,205,1,1227,2023-01-31
100,234,87.11448807541927,23.791222352074083,18.806549649671556,18.924353373140782,29.05079913378954,15.451796584725349,1.4384081318515531,205,2,1263,2023-02-28
102,254,76.2898142786454,20.75182311329375,17.887339458589945,18.24383425825501,28.164496055439628,14.794268059483418,1.4050552015206754,205,3,1167,2023-03-31
90,238,71.47408362398588,20.948106352361435,18.54928726995494,18.30074682052455,29.7774459090429,14.317184764831955,1.01623168192756,205,4,1124,2023-04-30
103,253,79.79840565914186,24.747150644980398,17.62587498936862,18.696049287637393,29.116621305051012,15.03632004941873,1.3883480408594495,205,5,1213,2023-05-31
101,211,73.41383837161483,23.81722885600234,18.386401662203994,18.598178230601306,30.610170963851964,15.426461083266153,0.9298569671600008,205,6,1209,2023-06-30
119,207,82.89573948744203,24.50515028952837,17.00660309283106,19.25235377709923,29.239680907468287,16.440780712764838,0.8385928277818817,205,7,1139,2023-07-31
116,296,86.76332474446714,23.650497129512733,17.466645525152725,19.80952541316425,30.894363696306137,16.53065043742621,1.0582995402270439,205,8,1222,2023-08-31
92,267,87.03064654760917,24.080391151755737,17.561541244122466,19.814240932686904,29.82086716545063,14.743305446481372,1.293387097846463,205,9,1149,2023-09-30
103,292,80.39955495202935,21.46322727119412,18.32259311575225,18.889827625814114,29.285118571132006,14.65421706748207,1.2042869093255413,205,10,1299,2023-10-31
104,210,71.54684211335602,24.742870828465968,18.910019637009285,19.718041752188736,28.571114014367843,14.38599442751533,1.0481577064637226,205,11,1274,2023-11-30
99,213,78.68973018589429,24.449713064419278,18.095742290265203,19.795822985877315,29.073357103845815,16.989281995747685,0.9957927953153246,205,12,1130,2023-12-31
